"Month","Year","Consumer Confidence Index TX","Consumer Confidence West South Central","Consumer Confidence Index US","PCE Deflator","Consumer Price Index TX","Consumer Price Index U.S.","CPI U.S. Ex Food and Energy","Nonfarm Employment TX","Nonfarm Employment U.S.","Unemployment TX","Unemployment U.S.","Single Family Building Permits TX","Multi Family Building Permits TX","Existing Single Family Home Sales TX","Existing Single Family Home Price TX","Non Residential Building Construction","Total Sales Tax Collections Retail TX","Total Sales Tax Collections TX","Retail Gasoline Price TX","Retail Diesel Price TX","Nonfarm Employment Illinois","Nonfarm Employment Florida","Nonfarm Employment New York","Nonfarm Employment Texas","Nonfarm Employment California","Gross Value Crude Oil Production","Gross Value Natural Gas Production","Motor Fuel Taxed Gasoline","Motor Fuel Taxed Diesel"
"1","2005",,,,,,,,,,,,,,,,,,,,,"5826.8","7645.5","8489.8","9603.8","14880.7",,,,
"2","2005",,,,,,,,,,,,,,,,,,,,,"5834.9","7668.7","8486.6","9619","14914.2",,,,
"3","2005",,,,,,,,,,,,,,,,,,,,,"5833.4","7668.1","8484.1","9637.3","14932.4",,,,
"4","2005",,,,,,,,,,,,,,,,,,,,,"5857.4","7713.4","8521.5","9677.7","14981.9",,,,
"5","2005",,,,,,,,,,,,,,,,,,,,,"5854.9","7752.1","8510.5","9691.7","14986.9",,,,
"6","2005",,,,,,,,,,,,,,,,,,,,,"5839.1","7752.1","8513.9","9695.4","15000.8",,,,
"7","2005",,,,,,,,,,,,,,,,,,,,,"5874.7","7810.5","8531.3","9760.5","15063.3",,,,
"8","2005",,,,,,,,,,,,,,,,,,,,,"5879.2","7840.8","8540.7","9776.2","15095.4",,,,
"9","2005",,,,,,,,,,,,,,,,,,,,,"5884.4","7870.8","8553.5","9805.6","15132.2",,,,
"10","2005",,,,,,,,,,,,,,,,,,,,,"5878.9","7870.8","8528.9","9820.3","15145.6",,,,
"11","2005",,,,,,,,,,,,,,,,,,,,,"5887.3","7880.1","8543.9","9866.1","15186.4",,,,
"12","2005",,,,,,,,,,,,,,,,,,,,,"5888.4","7898.5","8554.3","9886.7","15215.8",,,,
"1","2006",,,,,,,,,,,,,,,,,,,,,"5898.8","7906.2","8561.3","9924.6","15214.3",,,,
"2","2006",,,,,,,,,,,,,,,,,,,,,"5914.5","7920.2","8563.6","9945.2","15250.8",,,,
"3","2006",,,,,,,,,,,,,,,,,,,,,"5921.6","7949.9","8580.5","9984.9","15262.2",,,,
"4","2006",,,,,,,,,,,,,,,,,,,,,"5921.7","7960.1","8591.8","9996.4","15270.6",,,,
"5","2006",,,,,,,,,,,,,,,,,,,,,"5920.3","7976","8592.2","10022.8","15313.5",,,,
"6","2006",,,,,,,,,,,,,,,,,,,,,"5936","7989.6","8601.2","10047.3","15344.3",,,,
"7","2006",,,,,,,,,,,,,,,,,,,,,"5935.3","7995.9","8598.1","10056.2","15341.4",,,,
"8","2006",,,,,,,,,,,,,,,,,,,,,"5943.6","8017.3","8600.7","10100.3","15372",,,,
"9","2006",,,,,,,,,,,,,,,,,,,,,"5945","8020.7","8617.4","10135.8","15381.9",,,,
"10","2006",,,,,,,,,,,,,,,,,,,,,"5936.7","8016","8628.2","10149.5","15376.5",,,,
"11","2006",,,,,,,,,,,,,,,,,,,,,"5941.1","8022.5","8645.8","10177.4","15375.1",,,,
"12","2006",,,,,,,,,,,,,,,,,,,,,"5950.8","8033.7","8667","10212","15388.9",,,,
"1","2007",,"127.6","110.2","95.689","184.549","202.416","208.009","10.232","137.506","4.4","4.6","9413","4008","17379","136964","1305","874","1773.6","2.1","2.4","5967.9","8037.7","8684.6","10232","15416.2","$1433.71","$3731.72","982.7","307.1"
"2","2007",,"130","111.2","96.005","185.37","203.499","209.112","10.269","137.596","4.3","4.5","10308","5413","20448","139508","1799.9","786.3","1658.9","2.1","2.4","5958.7","8040.4","8687.7","10269.3","15438.5","$1455.88","$3097.03","942","305.6"
"3","2007",,"129.8","108.2","96.34","186.417","205.352","209.923","10.311","137.785","4.3","4.4","12441","3974","26279","143323","1634","779.7","1540.5","2.4","2.6","5978","8053.3","8698.9","10311.2","15472.4","$1668.14","$3367.99","898.2","311"
"4","2007",,"127.8","106.3","96.527","187.804","206.686","210.311","10.335","137.864","4.2","4.5","11084","2438","25294","144986","1819.7","840.9","1743.8","2.7","2.8","5977.2","8038.1","8690.4","10334.5","15431","$1703.75","$3875.43","987.9","376.7"
"5","2007",,"132.9","108.5","96.798","188.557","207.949","210.316","10.359","138.007","4.2","4.4","11531","4926","29497","147725","1451.1","860.6","1794.3","3","2.7","5982.8","8029.1","8705","10359.4","15444","$1712.18","$3782.04","1003.1","253.6"
"6","2007",,"125.1","105.3","96.997","189.031","208.352","210.474","10.394","138.085","4.2","4.6","10260","6117","29714","153398","2297.6","794.8","1642","2.9","2.8","5985.6","8026.9","8717.4","10394.3","15464.1","$1730.19","$4222.67","1022.8","333.5"
"7","2007",,"131.5","111.9","97.141","189.21","208.299","210.756","10.415","138.052","4.2","4.7","9987","5841","28516","150659","1368.8","804.4","1698.1","2.9","2.8","5982.6","7995.1","8720.1","10414.7","15502.8","$2036.21","$4194.30","998.2","332.9"
"8","2007",,"118.9","105.6","97.225","189.154","207.917","211.111","10.432","138.028","4.3","4.6","9642","5476","28874","151148","1813.7","891.8","1866","2.7","2.8","5976.7","7983.3","8718.4","10431.5","15481.2","$2007.83","$3953.61","994.1","327"
"9","2007",,"121","99.5","97.601","189.589","208.49","211.628","10.45","138.116","4.3","4.7","7575","3534","20488","145475","1582.8","786.2","1627.7","2.7","2.9","5977.4","7965.2","8722.2","10449.6","15476.9","$2119.77","$3609.24","1041.9","367.9"
"10","2007",,"127.7","95.2","97.883","190.289","208.936","212.318","10.482","138.201","4.3","4.7","7960","4496","21132","142247","1900.6","792.9","1660.9","2.7","3","5976.5","7947.1","8748.4","10482.2","15461.5","$2427.43","$3396.69","958.8","322.3"
"11","2007",,"122.56","87.8","98.373","191.025","210.177","212.435","10.505","138.316","4.3","4.7","6516","5064","19847","143518","1307.3","945.9","1900.8","2.9","3.3","5984","7942","8760.9","10505.4","15464.3","$2566.51","$4035.04","1025.7","371.5"
"12","2007",,"119.5","90.6","98.638","191.509","210.036","212.356","10.529","138.413","4.3","5","5661","5416","19310","146159","1223.7","971.7","1838.7","2.9","3.3","5985.2","7931.8","8768.3","10528.5","15472.5","$2480.04","$4322.36","965.8","342.4"
"1","2008",,"125.3","87.3","98.894","192.125","211.08","213.138","10.564","138.432","4.3","5","6376","6744","15023","137649","8977.9","892.1","1865.2","2.9","3.3","5992.5","7896.2","8788.8","10563.6","15441","$2640.10","$4567.82","985.8","313.7"
"2","2008",,"106.28","76.4","99.11","192.618","211.693","213.866","10.594","138.346","4.3","4.9","7154","3279","18552","141366","1891.7","855.5","1805.1","2.9","3.3","5988.2","7889.2","8794.8","10593.6","15444.4","$2534.70","$4649.66","954.2","343.2"
"3","2008",,"97.48","65.9","99.416","193.904","213.528","214.866","10.586","138.268","4.4","5.1","7569","5264","21359","145572","1905.7","812.2","1652.8","3.1","3.8","5979.7","7861.3","8792.7","10585.6","15428.8","$2952.04","$4784.87","940.6","324.1"
"4","2008",,"91.28","62.8","99.654","194.298","214.823","215.059","10.606","138.058","4.4","5","8489","4453","22593","145572","1671","800.8","1713.8","3.4","4","5978.5","7808.2","8810.6","10605.7","15441","$3148.31","$5734.89","1010.4","281.1"
"5","2008",,"82.64","58.1","100.091","196.371","216.632","215.18","10.614","137.873","4.5","5.4","7577","3978","24980","149290","1890.8","894.4","1877.5","3.7","4.4","5974.3","7773.3","8799.5","10613.7","15412","$3570.03","$5901.94","975.8","343.1"
"6","2008",,"82.76","51","100.786","198.982","218.815","215.553","10.622","137.708","4.7","5.6","7619","3070","25324","153300","2391.9","853.7","1778.6","3.9","4.6","5965","7742.7","8798.6","10622","15375.7","$3707.99","$7042.02","1018.3","331.5"
"7","2008",,"80.04","51.9","101.218","200.498","219.964","216.045","10.636","137.499","4.8","5.8","7347","4712","24599","151540","1856.2","828.6","1874.9","3.9","4.7","5960.3","7703.4","8807.4","10636.1","15342.8","$3878.40","$7402.11","954","321.3"
"8","2008",,"92.78","58.5","101.135","199.156","219.086","216.476","10.639","137.233","5","6.1","6315","5585","23411","150170","2205.3","907.9","2008","3.6","4.3","5950.9","7668.4","8799.2","10639.4","15286.3","$3364.07","$5956.22","982.3","342.5"
"9","2008",,"93.02","61.4","101.236","199.17","218.783","216.862","10.611","136.781","5.1","6.1","4859","4551","18552","143714","2330.7","778","1687.5","3.6","4","5930.1","7636.1","8776.8","10610.5","15252.5","$2809.50","$4551.51","1054.7","248.6"
"10","2008",,"76.98","38.8","100.684","197.472","216.573","217.023","10.621","136.308","5.3","6.5","5038","3077","17476","141171","1626.9","747.4","1746.3","2.9","3.5","5910","7581.1","8754.1","10621.4","15146.3","$2226.67","$4181.09","852.3","377.9"
"11","2008",,"64.96","44.7","99.545","193.765","212.425","216.69","10.61","135.539","5.6","6.8","3283","1579","13215","136182","2097.3","949.9","1989.3","2","2.8","5882.7","7533.8","8726.6","10610.2","15054.1","$1609.41","$3359.55","1018","343.5"
"12","2008",,"65.9","38.6","99.007","191.956","210.228","216.1","10.58","134.844","5.8","7.3","3220","2351","16582","139508","1800.3","985.8","1875.9","1.6","2.4","5851.3","7486.7","8699.2","10579.8","14970.4","$1107.32","$3615.25","963.2","283.5"
"1","2009",,"64.4","37.4","99.068","192.681","211.143","216.719","10.524","134.053","6.1","7.8","3769","2784","11121","130899","1435.5","867.8","1937.3","1.6","2.2","5801.6","7417.2","8659","10524.3","14854.7","$1081.41","$3339.76","1023.2","294.7"
"2","2009",,"50.7","25.3","99.284","193.791","212.193","217.685","10.466","133.35","6.3","8.3","4207","1883","13847","137160","1415","854.7","1756.3","1.8","2.1","5765.2","7360.4","8631.4","10465.5","14733.6","$898.88","$2273.82","965.3","291.5"
"3","2009",,"46.4","26.9","99.193","194.234","212.709","218.639","10.4","132.527","6.5","8.7","5189","1573","17345","138529","997","777.9","1589.1","1.8","2.1","5723.9","7311.8","8594.7","10400.4","14639.1","$1269.21","$2265.11","916.6","281.8"
"4","2009",,"71","40.8","99.34","195.12","213.24","219.143","10.328","131.841","6.7","9","5378","2095","17733","141757","1432.7","788.3","1660.8","2","2.2","5674.8","7265.3","8524.4","10328.4","14539.6","$1357.13","$2138.89","1019","305.7"
"5","2009",,"73.5","54.8","99.474","194.78","213.856","219.128","10.312","131.49","7.6","9.4","5498","1253","19790","148018","1948.4","889.7","1778.6","2.2","2.2","5665.6","7244.9","8532.5","10312.2","14493.4","$1620.74","$2157.24","989.9","289.8"
"6","2009",,"75.1","49.3","100.067","196.674","215.693","219.283","10.284","131.02","8.1","9.5","6680","1399","22693","153692","1703.8","811.2","1579.4","2.5","2.5","5641.2","7221.1","8516.2","10283.9","14428.7","$1877.98","$2272.97","1026.3","291.9"
"7","2009",,"71","47.4","100.02","196.342","215.351","219.35","10.253","130.691","8.3","9.5","6930","541","23335","151931","1811","757.9","1657.9","2.4","2.5","5623.6","7193.8","8547.7","10252.7","14321.9","$1773.91","$2353.45","1013.6","293.2"
"8","2009",,"75","54.5","100.288","196.4","215.834","219.596","10.226","130.479","8.4","9.6","6057","1314","20634","148703","1262.5","885","1755.9","2.5","2.6","5607.3","7173.8","8530.9","10226.2","14272.5","$1966.85","$2259.07","1025.9","297.6"
"9","2009",,"82.5","53.4","100.454","196.804","215.969","220.137","10.223","130.26","8.4","9.8","5549","1603","19374","146355","1601.9","731.7","1476.2","2.4","2.5","5599.5","7155","8491.2","10223.3","14224.3","$1873.04","$1875.41","1021","292"
"10","2009",,"72.9","48.7","100.764","196.802","216.177","220.731","10.216","130.06","8.4","10","4926","200","20272","141660","1794.3","718","1523.2","2.4","2.6","5589.7","7150.5","8481.4","10215.9","14256.8","$2129.31","$2462.08","961.1","281.8"
"11","2009",,"64.9","50.6","100.997","196.851","216.33","220.384","10.214","130.053","8.3","9.9","4473","1090","18710","141268","1111.5","890.2","1701.6","2.5","2.7","5592.6","7145.4","8482.9","10214.4","14247.1","$2148.25","$2690.11","991","288.4"
"12","2009",,"72.1","53.6","101.052","196.267","215.949","220.025","10.208","129.774","8.3","9.9","5057","989","16914","143225","1078.6","920.2","1658","2.5","2.7","5583.7","7128","8483.8","10207.7","14220.1","$2079.93","$3067.10","963.3","267.4"
"1","2010",,"72.3","56.5","101.234","196.846","216.687","220.086","10.233","129.802","8.3","9.8","4893","1115","10797","135888","1387.4","817","1661.4","2.6","2.8","5584.3","7129.8","8487.8","10232.9","14200.1","$2202.61","$3715.74","992.8","287.6"
"2","2010",,"74.1","46.4","101.248","197.284","216.741","220.602","10.242","129.733","8.3","9.8","5782","411","13781","139997","798.5","804.2","1601.2","2.5","2.7","5587.3","7129.3","8482.5","10241.5","14186.5","$1979.19","$3177.12","945.5","289.6"
"3","2010",,"74.9","52.3","101.363","197.592","217.631","221.059","10.272","129.896","8.3","9.9","7837","1596","20465","142833","1035.9","757.3","1466","2.6","2.9","5586.3","7136.2","8504","10271.5","14193.2","$2403.72","$3138.79","913.6","273.8"
"4","2010",,"70.7","57.7","101.349","198.185","218.009","221.166","10.289","130.139","8.2","9.9","6557","1659","22893","145475","1406.9","823","1682.7","2.7","3","5595","7155","8535.4","10288.6","14279.2","$2440.12","$2643.92","1032.9","327.8"
"5","2010",,"76.48","62.66","101.392","198.148","218.178","221.193","10.351","130.661","8.1","9.6","5726","1533","23812","146844","1425.1","905.4","1781.4","2.7","3","5618","7198.3","8579","10350.8","14329.2","$2181.01","$2852.79","1002.8","315.8"
"6","2010",,"66.4","54.3","101.447","198.322","217.965","221.265","10.353","130.528","8","9.4","5977","1826","22864","150953","1374.1","802.1","1614.6","2.6","2.9","5609.8","7185.6","8577.2","10352.7","14318.8","$2084.43","$2732.36","1060.4","313.5"
"7","2010",,"66","51","101.569","197.501","218.011","221.258","10.343","130.458","8","9.4","5007","2130","17336","153007","1020.7","816","1692.6","2.6","2.9","5600.1","7189.4","8567.1","10343","14300.4","$2236.90","$3027.87","1028.3","319"
