Ding,Unemployment_TX,Unemployment_US,date,ddate
,4.4,4.6,1/1/2007,1
,4.3,4.5,2/1/2007,2
,4.3,4.4,3/1/2007,3
,4.2,4.5,4/1/2007,4
,4.2,4.4,5/1/2007,5
,4.2,4.6,6/1/2007,6
,4.2,4.7,7/1/2007,7
,4.3,4.6,8/1/2007,8
,4.3,4.7,9/1/2007,9
,4.3,4.7,10/1/2007,10
,4.3,4.7,11/1/2007,11
,4.3,5,12/1/2007,12
,4.3,5,1/1/2008,13
,4.3,4.9,2/1/2008,14
,4.4,5.1,3/1/2008,15
,4.4,5,4/1/2008,16
,4.5,5.4,5/1/2008,17
,4.7,5.6,6/1/2008,18
,4.8,5.8,7/1/2008,19
,5,6.1,8/1/2008,20
,5.1,6.1,9/1/2008,21
,5.3,6.5,10/1/2008,22
,5.6,6.8,11/1/2008,23
,5.8,7.3,12/1/2008,24
,6.1,7.8,1/1/2009,25
,6.3,8.3,2/1/2009,26
,6.5,8.7,3/1/2009,27
,6.7,9,4/1/2009,28
,7.6,9.4,5/1/2009,29
,8.1,9.5,6/1/2009,30
,8.3,9.5,7/1/2009,31
,8.4,9.6,8/1/2009,32
,8.4,9.8,9/1/2009,33
,8.4,10,10/1/2009,34
,8.3,9.9,11/1/2009,35
,8.3,9.9,12/1/2009,36
,8.3,9.8,1/1/2010,37
,8.3,9.8,2/1/2010,38
,8.3,9.9,3/1/2010,39
,8.2,9.9,4/1/2010,40
,8.1,9.6,5/1/2010,41
,8,9.4,6/1/2010,42
,8,9.4,7/1/2010,43
,8,9.5,8/1/2010,44
,8,9.5,9/1/2010,45
,8,9.4,10/1/2010,46
,8,9.8,11/1/2010,47
,8,9.3,12/1/2010,48
,8,9.1,1/1/2011,49
,7.9,9,2/1/2011,50
,7.8,9,3/1/2011,51
,7.8,9.1,4/1/2011,52
,7.8,9,5/1/2011,53
,7.8,9.1,6/1/2011,54
,7.8,9,7/1/2011,55
,7.7,9,8/1/2011,56
,7.6,9,9/1/2011,57
,7.5,8.8,10/1/2011,58
,7.3,8.6,11/1/2011,59
,7.2,8.5,12/1/2011,60
,7.1,8.3,1/1/2012,61
,6.9,8.3,2/1/2012,62
,6.9,8.2,3/1/2012,63
,6.8,8.2,4/1/2012,64
,6.8,8.2,5/1/2012,65
,6.7,8.2,6/1/2012,66
,6.6,8.2,7/1/2012,67
,6.5,8.1,8/1/2012,68
,6.5,7.8,9/1/2012,69
,6.4,7.8,10/1/2012,70
,6.4,7.7,11/1/2012,71
,6.4,7.9,12/1/2012,72
,6.4,8,1/1/2013,73
,6.4,7.7,2/1/2013,74
,6.4,7.5,3/1/2013,75
,6.3,7.6,4/1/2013,76
,6.2,7.5,5/1/2013,77
,6.1,7.5,6/1/2013,78
,6.1,7.3,7/1/2013,79
,6,7.3,8/1/2013,80
,5.9,7.3,9/1/2013,81
,5.9,7.2,10/1/2013,82
,5.8,6.9,11/1/2013,83
,5.7,6.7,12/1/2013,84
,5.6,6.6,1/1/2014,85
,5.5,6.7,2/1/2014,86
,5.4,6.7,3/1/2014,87
,5.3,6.2,4/1/2014,88
,5.2,6.2,5/1/2014,89
,5.1,6.1,6/1/2014,90
,5,6.2,7/1/2014,91
,4.9,6.2,8/1/2014,92
,4.8,6,9/1/2014,93
,4.7,5.7,10/1/2014,94
,4.6,5.8,11/1/2014,95
,4.5,5.6,12/1/2014,96
,4.4,5.7,1/1/2015,97
,4.4,5.5,2/1/2015,98
,4.4,5.5,3/1/2015,99
,4.4,5.4,4/1/2015,100
,4.4,5.5,5/1/2015,101
,4.4,5.3,6/1/2015,102
,4.4,5.3,7/1/2015,103
,4.4,5.1,8/1/2015,104
,4.5,5.1,9/1/2015,105
,4.5,5,10/1/2015,106
,4.6,4.8,11/1/2015,107
,4.7,4.9,12/1/2015,108
,4.8,4.9,1/1/2016,109
,4.6,4.9,2/1/2016,110
,4.6,5,3/1/2016,111
,4.6,4.7,4/1/2016,112
,4.7,4.8,5/1/2016,113
,4.6,4.6,6/1/2016,114
,4.5,4.9,7/1/2016,115
,4.4,4.7,8/1/2016,116
,4.4,5,9/1/2016,117
,4.3,5,10/1/2016,118
,4.3,4.9,11/1/2016,119
,4.5,4.9,12/1/2016,120
,4.6,5,1/1/2017,121
